Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1O3Y.2.1,M,AHF2-1O3Y,2,pred-/same,pred-/AH,pred-,AH,1-Apr,1,18-May,15:20,pred+,0.102,2,192,3,
AH,AHF2_1O3Y.2.1,M,AHF2-1O3Y,2,pred-/same,pred-/AH,pred-,AH,1-Apr,2,19-May,15:08,pred-,0.102,1,230,19,
AH,AHF2_1O3Y.4.6,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,1,3-Jul,15:49,pred+,0.146,1,12,7,
AH,AHF2_1O3Y.4.6,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,2,4-Jul,14:12,pred-,0.146,1,23,2,
AH,AHF2_1O3Y.4.8,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,1,4-Jul,15:06,pred-,0.104,2,137,9,didn't eat 7/3; stayed in small section of tank to eat
AH,AHF2_1O3Y.4.8,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,2,5-Jul,16:57,pred+,0.104,1,32,7,
AH,AHF2_1O3Y.4.9,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,1,3-Jul,15:07,pred-,0.126,1,19,6,last pecks at bottom only first at top
AH,AHF2_1O3Y.4.9,M,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,2,4-Jul,14:34,pred+,0.126,1,136,2,
AH,AHF2_1Y2G.3.1,M,AHF2_1Y2G,3,pred-/same,pred-/AH,pred-,AH,28-Jun,1,13-Aug,15:03,pred+,0.088,1,180,38,
AH,AHF2_1Y2G.3.1,M,AHF2_1Y2G,3,pred-/same,pred-/AH,pred-,AH,28-Jun,2,14-Aug,15:06,pred-,0.088,1,37,20,
AH,AHF2_1Y2G.3.2,M,AHF2_1Y2G,3,pred-/same,pred-/AH,pred-,AH,28-Jun,1,14-Aug,16:15,pred-,0.082,1,10,3,8/13 didn't eat
AH,AHF2_1Y2G.3.2,M,AHF2_1Y2G,3,pred-/same,pred-/AH,pred-,AH,28-Jun,2,15-Aug,14:25,pred+,0.082,1,90,1,
AH,AHF2_1Y2G.4.1,M,AHF2_1Y2G,4,pred-/same,pred-/AH,pred-,AH,24-Jul,1,8-Sep,14:25,pred-,0.082,1,126,23,was eating during previous tiral; first at bottom
AH,AHF2_1Y2G.4.1,M,AHF2_1Y2G,4,pred-/same,pred-/AH,pred-,AH,24-Jul,2,9-Sep,15:22,pred+,0.082,1,117,12,first 3 in middle
AH,AHF2_1Y3O.4.1,M,AHF2_1Y3O,4,pred-/same,pred-/AH,pred-,AH,23-Mar,1,9-May,16:23,pred+,0.114,1,464,4,
AH,AHF2_1Y3O.4.1,M,AHF2_1Y3O,4,pred-/same,pred-/AH,pred-,AH,23-Mar,2,10-May,18:09,pred-,0.114,1,183,3,
AH,AHF2_1Y3O.5.2,M,AHF2_1Y3O,5,pred-/same,pred-/AH,pred-,AH,18-Apr,1,3-Jun,16:07,pred+,0.1,1,60,4,
AH,AHF2_1Y3O.5.2,M,AHF2_1Y3O,5,pred-/same,pred-/AH,pred-,AH,18-Apr,2,4-Jun,16:24,pred-,0.1,1,22,4,
